time,a_y,a_x,a_z,v_y,v_x,v_z,y,x,z
7.141968,0.1999437575615654,-1.175736003122199,0.8869956549974611,0.7461946855729594,0.5041380018294275,-0.20035401615826734,1.207947382071516,0.5946596905235109,0.015780316062038405
7.149675,0.14780970508199334,-1.0556700556017684,0.9774616025178892,0.757173599247731,0.5012406040714766,-0.1824448950531525,1.217050747284218,0.6012514756168912,0.015370913778139983
7.157879,0.26405022024350117,-0.8447295404402594,0.7856021176794007,0.766320992738194,0.498248646210339,-0.16492890558665535,1.2260339982663573,0.6075919380948648,0.014918555831640052
7.176159,0.4281997225443347,-0.3819800381394248,0.2528516199802301,0.7743113308767138,0.49505486017311295,-0.15167773802839432,1.234708264935698,0.613505785754976,0.01422595273564327
7.186246,0.34243687743603246,-0.2099428832477279,0.24668877487192853,0.7831632127892488,0.49573455914232367,-0.14459457071780052,1.2433326654303918,0.6192721449036698,0.013501095729915924
7.195894,0.2537222649127674,-0.14445749577099393,0.3396741623486636,0.7905641153885464,0.4975636754818809,-0.13815946737516385,1.2519395856429716,0.6249517069123461,0.0127449670906991
7.209137,0.07398422082213216,-0.16039553986162874,0.6085361182580281,0.7972642164434726,0.5002473865866426,-0.13059238017190555,1.2606505615794847,0.6306869672717639,0.01209239581762066
7.217256,-0.17556351882578608,-0.2661432795095512,1.0489883786101029,0.8028286330365021,0.5034476435505747,-0.11963600476857396,1.269538359043135,0.6365668692514816,0.011648212673140333
7.224956,-0.3846939190532863,-0.47257367973705133,1.5647579783826058,0.806727531468819,0.5064328751509215,-0.10338520295003137,1.278618440640503,0.642622523850063,0.011485803732993943
7.232741,-0.6180755225432798,-0.6243552832270395,2.065476374892612,0.8093852519222545,0.5082041633381187,-0.0810636025551721,1.287878973717265,0.6488495512396649,0.011665315893629125
7.24211,-0.7875879222963393,-0.7331676829801034,2.4755639751395546,0.8106059031557101,0.5093614714030104,-0.05277429556408191,1.2973147216889473,0.6552470033905748,0.012255735600168934
7.251286,-0.8057836243823803,-0.791863385066141,2.6793682730535173,0.8098422974139196,0.5091467958778135,-0.020622892104462123,1.3067061972311236,0.6616026321401968,0.013104406778344416
7.260212,-0.7892453490929655,-0.7462251097767266,2.725806548342932,0.8078598543019571,0.5073047644964664,0.012548960500717545,1.3159080923623059,0.6677721571322642,0.014106800871290225
7.273832,-0.693926240683743,-0.6557060013675032,2.6229256567521544,0.8045925364964504,0.5044713865189075,0.04473753601064303,1.3248371012857583,0.673671692623134,0.015192426874014928
7.281695,-0.5446227953236075,-0.559302556007365,2.4428291021122903,0.8013052029297899,0.5015695757744494,0.0749068768971713,1.3335664553118103,0.6793757061257536,0.01642595424908868
7.289632,-0.42733627824411646,-0.5232160389278764,2.344015619191781,0.7988986244085998,0.49901492432464084,0.10263435580988127,1.3421609629780338,0.6849460708323841,0.01784535118424431
7.298226,-0.39083029252110013,-0.48421005320486077,2.317321604914798,0.7973502426739778,0.4964994153142046,0.12904025756298965,1.3506803829574856,0.6904357234090447,0.01948262538431098
7.308344,-0.3223027016202819,-0.42198246230404196,2.2277491958156173,0.7957380956905624,0.4939453582454674,0.1547449034916548,1.3591105362634093,0.6958264812004187,0.02130938916330921
7.317901,-0.2682305142600113,-0.2573102749437718,2.0327213831758875,0.7938289447079924,0.4910307498575346,0.17855781029442117,1.3673551882235233,0.7010219162185887,0.023218149756805567
7.336499,-0.004623614208697724,0.07609662510753867,1.4042282832272046,0.78934224671448,0.4866542029660468,0.197280529225575,1.3750374934000766,0.7056504890312779,0.02481134643050917
7.345887,0.26925744098803267,0.1628776803042755,0.9832093384239303,0.7858806360364332,0.48400680734857426,0.20802983321685922,1.382402377866256,0.7099663031171144,0.026275849519858098
7.356657,0.5798722668755423,0.17129250619178701,0.5711241643114437,0.78333154701344,0.4803846788496985,0.21268228859390828,1.3894229162613037,0.7139364657669023,0.027503998949928363
7.366474,0.8018588259972969,0.03577906531353403,0.3795107234331928,0.7832318366544433,0.4761636750280887,0.21249433720738883,1.396314035662008,0.7177510121257087,0.028638604890890595
7.374359,0.8599869364883519,-0.1113928241954078,0.36923883392425205,0.785700834539301,0.47090532120990924,0.21070316206964865,1.4032730431987677,0.7215736887121261,0.02981916801081936
7.383512,0.7986553043490353,-0.26082445633472606,0.48450720178493134,0.7889723416983351,0.4643786409826641,0.20902455387421073,1.4102976965275311,0.7253736221190077,0.03101892540345298
7.39238,0.6172924278711747,-0.2986873328125844,0.6112443253070732,0.7917952980243768,0.45651475612947173,0.2086787371821689,1.4173819584759517,0.7291298491720304,0.03223734430480829
7.401741,0.5090435192312737,-0.24673624145248815,0.5765954166671703,0.7928761099393459,0.44835619359947476,0.20969854263534718,1.4245007169623305,0.7328200761279731,0.033473970551243015
7.411115,0.6059006529484794,-0.19287910773528072,0.3307525503843768,0.7926284193106632,0.44048504609258377,0.2101322396329721,1.4315835153961127,0.7363892963853758,0.03467776559908227
